#Linear limb darkening coefficients from Gianninas et al. 2013 ApJ, 766, 3 for given logg and Teff (first two columns).
 6.50  9000  0.5114
 6.50  9500  0.4821
 6.50 10000  0.4638
 6.50 10500  0.4642
 6.50 11000  0.4736
 6.50 11500  0.4723
 6.50 12000  0.4621
 6.50 12500  0.4515
 6.50 13000  0.4418
 6.50 13500  0.4327
 6.50 14000  0.4243
 6.50 14500  0.4164
 6.50 15000  0.4090
 6.50 15500  0.4020
 6.50 16000  0.3954
 6.50 16500  0.3891
 6.50 17000  0.3832
 6.50 20000  0.3531
 6.50 25000  0.3185
 6.50 30000  0.2812
 6.75  4000  0.4435
 6.75  4250  0.4337
 6.75  4500  0.4310
 6.75  4750  0.4391
 6.75  5000  0.4520
 6.75  5250  0.4727
 6.75  5500  0.5040
 6.75  6000  0.5572
 6.75  6500  0.5751
 6.75  7000  0.5737
 6.75  7500  0.5649
 6.75  8000  0.5512
 6.75  8500  0.5318
 6.75  9000  0.5065
 6.75  9500  0.4777
 6.75 10000  0.4548
 6.75 10500  0.4481
 6.75 11000  0.4544
 6.75 11500  0.4616
 6.75 12000  0.4570
 6.75 12500  0.4476
 6.75 13000  0.4381
 6.75 13500  0.4294
 6.75 14000  0.4211
 6.75 14500  0.4134
 6.75 15000  0.4061
 6.75 15500  0.3992
 6.75 16000  0.3927
 6.75 16500  0.3865
 6.75 17000  0.3806
 6.75 20000  0.3508
 6.75 25000  0.3163
 6.75 30000  0.2785
 7.00  4000  0.4469
 7.00  4250  0.4365
 7.00  4500  0.4319
 7.00  4750  0.4371
 7.00  5000  0.4471
 7.00  5250  0.4633
 7.00  5500  0.4894
 7.00  6000  0.5445
 7.00  6500  0.5677
 7.00  7000  0.5675
 7.00  7500  0.5579
 7.00  8000  0.5437
 7.00  8500  0.5246
 7.00  9000  0.5009
 7.00  9500  0.4733
 7.00 10000  0.4478
 7.00 10500  0.4348
 7.00 11000  0.4363
 7.00 11500  0.4442
 7.00 12000  0.4483
 7.00 12500  0.4425
 7.00 13000  0.4339
 7.00 13500  0.4254
 7.00 14000  0.4175
 7.00 14500  0.4100
 7.00 15000  0.4029
 7.00 15500  0.3961
 7.00 16000  0.3899
 7.00 16500  0.3837
 7.00 17000  0.3779
 7.00 20000  0.3484
 7.00 25000  0.3141
 7.00 30000  0.2760
 7.25  4000  0.4505
